,username,description,location,likes,retweets,following,followers,totaltweets,text,hashtags,date,langs
68,jexter,"Laborer, scientist, builder, artist, general life enthusiast. 
I assimilate.

PSD, 9th SRW, Beale AFB, 75-79, putting pilots in U2s, SR71s. #ThisIWillDefend",Puget Sound (on a dry spot),14,0,2065,655,20354,"@MrRaulJenkins @PolitcalCapitaI Holy crap, science, fix this coronavirus shite toot sweet. I gotta get to Birmingham.",[],2020-07-09 23:59:56,en
75,Cameron14054836,,"California, USA",0,0,1407,163,62414,"A test is not a passport to party.

Just because you test negative for COVID-19 doesn't mean you should get togethe… https://t.co/UB6Ok9ny8T",[],2020-07-09 23:59:56,en
76,Kutlwi_F,Internationally Qualified Private Chef| For bookings: kukzy23@gmail.com | IG: kuksie_love,"Pretoria, South Africa ",0,0,1134,1082,40515,"Due to Covid-19 I will not shake hands or hug anymore, You may either Kneel or Bow to me",[],2020-07-09 23:59:56,en
77,at_speech,I March to my own beat! Dislike  organized religion!,,0,0,66,17,1829,"'Devastated': As Layoffs Keep Coming, Hopes Fade That Jobs Will Return Quickly https://t.co/sUGgRpibU2",[],2020-07-09 23:59:56,en
80,TugayHatayli,"I welcome my friends, thanks to my Instagram page❤️
http://instagram.com/tugayhatayli76

Turkey 🇹🇷","İzmir, Türkiye [Man]",0,0,34232,64108,511050,"Global warming also threatens this wonderful formation. The world is under a lot of threats.
We can still laugh at… https://t.co/9y00wPezD2",[],2020-07-09 23:59:56,en
85,laurielambert57,"poet, parent, V-Day activist, human being",,0,0,913,105,26919,"County Medical Examiner in Corpus Christi, Texas says their morgue can no longer receive additional bodies.

Asking… https://t.co/u7byXOismZ",[],2020-07-09 23:59:56,en
86,EricSturrock,"Fan of Auto Racing


Fan of Operas(Wrestling, Soaps, good stories)


Fan of Gary Johnson 🇺🇲, Kyle Busch 🏎️, & Hana Kimura 🌸","Port Ewen, NY",0,0,1084,1143,201117,A circuit judge ordered Kentucky Gov. Beshear to cease issuing or enforcing executive orders related to Covid-19 th… https://t.co/CPn1wuHarb,[],2020-07-09 23:59:56,en
87,ChemicalBD,#FakePresident turned me on to Twitter. Bachelor of Science. Retired. #Resist #FBR #TrumpTreason #ImpeachedTwice #ConvictTrump #VoteBlueToSaveAmerica,"Mostly red, SC 😡",0,0,2212,2209,67349,"WTF? Among the televangelists taking millions in US coronavirus aid are Jimmy [Fucking] Swaggart, Jim [Mr. Tammy Fa… https://t.co/6LSWpK0Ge3",[],2020-07-09 23:59:56,en
89,Nolan1Peter,"Writer. Soccer, sports, life.","Brooklyn, NY",0,0,318,483,45458,NEW: A senior adviser accused the CDC of “undermining the President” by publishing scientific data about potential… https://t.co/P4Z4fziUbE,[],2020-07-09 23:59:56,en
91,ambermariedub,I don't totally know where I'm going. ~but that hasn't stopped me before.~,"Austin, TX",0,0,212,195,12816,"Due to Covid-19 I will not shake hands or hug anymore, You may either Kneel or Bow to me",[],2020-07-09 23:59:56,en
93,KyraKramer,"A wyrd medical anthropologist, historian, author, and nerd with Asperger's syndrome who lives in Wales with her husband, 2 daughters, 1 son, and 3 rescue dogs.","Vale of Glamorgan, Wales",0,0,1177,1111,45171,"""It's the coronavirus. Mostly kids, 99.9% of kids will not be affected by it at all,"" said co-host Brian Kilmeade.… https://t.co/aI2tl4Q4kN",[],2020-07-09 23:59:56,en
95,neuroicudoc,Neurocritical care | stroke telemedicine | clinical research | machine learning,Sydney | SF Bay Area,0,0,881,3466,7093,Stroke More Likely in COVID-19 Than Flu Patients https://t.co/lIvIyKYTNc #COVID19 #COVID,"['COVID19', 'COVID']",2020-07-09 23:59:56,en
103,RPSmithyman,,,0,0,164,19,4533,"Dr. Anthony Fauci, the nation's top infectious disease expert, said people should listen to scientists and trust th… https://t.co/KBS3Csgu8f",[],2020-07-14 23:59:59,en
104,TruthTellingNow,"Together we are better: Spotlighting the GOP liars, manipulators, narcissists & the TRUTH.",,0,0,4949,3698,58269,"Trump is at 39% approval on the coronavirus, per the latest FiveThirtyEight average. Obama was at 57% approval on H… https://t.co/9c50y46W18",[],2020-07-14 23:59:59,en
106,bioplast_hero,"trans writer, he/36 | sheith, multiship sometimes, nsfw often | icon !! KaczsiaArt !!","Portland, OR",0,0,494,743,18951,"LONG OVERDUE UPDATE:
Covid-19 has presented a lot of unexpected hardships for our artists and mods. We are still wo… https://t.co/0uoAVMa7em",[],2020-07-14 23:59:59,en
107,adaratayo,Clinical Assistant Professor||http://uconn.edu||I'm a work in fast progress....✈✈,Where God is,0,0,1182,1255,5541,BREAKING: Coronavirus vaccine developed by America's National Institutes of Health and Moderna Inc has boosted immu… https://t.co/7eaY3dnnWR,[],2020-07-14 23:59:59,en
109,iOptimizeRealty,"Tenant Representation, Economic Development, Strategic Advisory, Commercial Real Estate Optimization & Space Disposition #CRE #TenantRep, #Office #Warehouse","Commack, NY",0,0,2926,2240,64345,"Could Coronavirus Trigger Force Majeure Contract Breaks? #CRE #COVID-19 #TenantTips   
https://t.co/cLE5Oncpik","['CRE', 'COVID', 'TenantTips']",2020-07-14 23:59:59,en
110,nobby15,Retired IT Specialist,"Perth, Western Australia",1,0,3731,9565,1066693,Garry Linnell: Victoria cops the coronavirus blame. But there’s a major reason why it’s wrong | The New Daily https://t.co/7wOGpwYIbP,[],2020-07-14 23:59:59,en
111,rexpostfacto,alleged adult. dog parent. married person. mt-bc. leftist texan. bookworm. fangirl. lifelong learner. i am a #mffl first and a dirk nowitzki stan second.,,0,0,419,226,66866,"U.S.: If only there were some way to beat coronavirus, but no one knows

Every country that's beaten COVID: We list… https://t.co/Hz6txRwIh0",[],2020-07-14 23:59:59,en
112,actually_Her,@makaylaa_smith 💜|LL〽️| JO33💙|,202 ✈️ 864 ,0,0,20009,24310,47861,"1/ Texas hospitals are running out of drugs, beds, ventilators and even staff.

Many hospitals are no longer accept… https://t.co/NHs4xOTHsq",[],2020-07-14 23:59:59,en
113,Restore_NewYork,United To Win #2022 . We Are Going To Fight Hard Maybe Very Hard But By The End We Are Going To Be Successful ! מי לה' אלי,New York,0,0,151,361,20029,FACT: School aged children are more likely to die from the influenza than from COVID-19... but teachers unions are… https://t.co/jM8sjOSLCC,[],2020-07-14 23:59:59,en
115,Natou_ItsYaGirl,🇭🇹 A Black Girl in Alaska 🌲 Bi • She / Any • Married • I Take Pictures 🌱 • Fallout New Vegas is ART • Aries • 🐈 • Black Liberation • Land Back • 🔞,above a hellmouth,0,0,4156,3146,32680,‘Hero’ Pay Raises Disappear for Many Essential Workers https://t.co/f1pDIWdnBx,[],2020-07-14 23:59:59,en
116,Olubanasa,Providing a voice to the communities in #Anambra West Local Government Area of Anambra State Nigeria.,"Anambra, Nigeria",0,0,48,16,8266,"COVID-19 Cases Hit 33,616 As NCDC Reports 463 New Cases https://t.co/TE98mG7upZ",[],2020-07-14 23:59:59,en
117,pefnic,"observer of life, advocate, nurse practitioner, life-long learner. Mother, Wife , grandmother and world citizen. #TheResistence #BlueWave2018","New Jersey, United States",0,0,4982,1163,188241,"So trump is now trying to trick networks into covering him, saying it’s about coronavirus, and then walks out into… https://t.co/24JV15IYZO",[],2020-07-14 23:59:59,en
118,Addicted2Poli,Save America.  Get engaged.,"Chicago, IL",0,0,403,588,62650,"⚠️dead at 33
Danielle DiCenso, ICU nurse from Hialeah, #Florida died from #COVID. ""It’s like sending military troop… https://t.co/LFgPPNcklA","['Florida', 'COVID']",2020-07-14 23:59:59,en
119,cyndeehudson1,,,0,0,259,166,64691,"""The Trump administration has ordered hospitals to bypass the Centers for Disease Control and Prevention and, begin… https://t.co/rATgiwwCPq",[],2020-07-14 23:59:59,en
121,XXXL74,My opinions are my own. Try to do something nice for someone each day. Veteran Bubblehead. He / It / Asshole,California native since 68,0,0,611,606,47284,CDC says U.S. could get coronavirus under control in one to two months if everyone wears a mask https://t.co/mYQfMbg0F2,[],2020-07-14 23:59:59,en
122,mjjdaylight,I once believed love would be burning red but it's golden like michael jackson on history tour / 20yo / FAN ACCOUNT ✨ black lives matter. antifa. ecosocialism.,she/her. white latina from rio,2,0,318,1068,7978,i'm kinda worried cuz my upstairs neighbor just tested positive for covid-19,[],2020-07-14 23:59:59,en
123,grind92,Psalms 60:12 In God we will be strong🙏🏿 ΑΦΑ🤙🏿 Director📽21Gproductions CEO🎥Video editor🖥,"Lexington, KY",0,0,1083,682,35584,"So if COVID-19 required schools to close in March and it’s worse now, why are we talking about reopening?",[],2020-07-14 23:59:59,en
125,emurotc2,Hard working and dedicated.,"Clarklake, Michigan ",0,0,24,1,20,"Our Battle Creek, MI team is one of the best kept secrets in VA! During COVID-19, they dispatched 31 nurses across… https://t.co/STJJcnxTHl",[],2020-07-14 23:59:59,en
126,torney_patricia,,,0,0,1201,1008,133899,A Supreme Court vacancy would end the coronavirus hysteria.,[],2020-07-14 23:59:59,en
128,SFVDems,The Democratic Party of the San Fernando Valley (DP/SFV) is the coordinating body for a coalition of Democratic Clubs.,San Fernando Valley,0,0,246,506,5283,Has your job been impacted by COVID-19? Head over to the revamped LA Jobs Portal to seamlessly find and apply to jo… https://t.co/XUjwUvTmZI,[],2020-07-14 23:59:59,en
130,dianatoy410,,"Palm Beach, Florida",0,0,80,79,29267,Did the first lockdown stop #Covid_19? No! Then why @GavinNewsom do you think a 2nd shutdown will? At some point we… https://t.co/TtetXrev52,['Covid_19'],2020-07-14 23:59:59,en
133,berleezyd,"Mao Zedong! Amazing man! Imagine him and his followers wandering through China day and night, fighting for their goal. What an effort.-Carl XVI Gustaf of Sweden",,0,0,3689,139,4176,BREAKING: Coronavirus vaccine developed by America's National Institutes of Health and Moderna Inc has boosted immu… https://t.co/7eaY3dnnWR,[],2020-07-14 23:59:59,en
135,PastahD,🙏🏽on a mission4God 👼🏽Interfaith|Womanist|Traveler🌎🦋|Lifelong Learner📚HBCU.AggiePride| Wakanda4eva👑|MartialArts🥋/ReTweets≠agreement.,"Atlanta, GA Native, Global",0,0,5000,451,16196,"On @ABCNewsLive, we have the latest on the coronavirus pandemic after Minnesota, New Mexico, Ohio and Wisconsin hav… https://t.co/ao03GtyFf1",[],2020-07-14 23:59:59,en
136,dana_neilson,,,0,0,147,123,2016,‘Compelling’ evidence air pollution worsens coronavirus – study https://t.co/5nk8r79PgD,[],2020-07-14 23:59:59,en
139,EddeDre,The creator of EddeBot on Facebook Gaming,"South Carolina, USA",1,0,296,433,6253,@Amped I’m currently waiting for Facebook to approve my business developer account to on-board more users. It’s bee… https://t.co/o1ih54dYcZ,[],2020-07-14 23:59:59,en
141,Degrasse81,"Republican Strategist 🇺🇸 views are my own. RT's not endorsements. “Biggest crybaby in NY politics” - Seth Wallace, Editor of Palladium Times",North Country NY / DC,0,0,2166,4340,15630,The @AP sent the Cuomo administration's report on coronavirus in nursing homes to a selection of experts nationwide… https://t.co/y0KqsY4DlQ,[],2020-07-14 23:59:58,en
144,CynBlogger,Ancient Aries crone; thinker; writer; painter; FIERCE LIBERAL! 🌈Ally. A meme for every thought. #Geology #Resist #AntiFascist #BLM *I BLOCK FOR VIOLENT PICS*,Northern California,0,0,18585,18402,253427,"This is devastating news.
#ONEV1

Open SmartNews to read 'White House tells hospitals to bypass CDC on COVID-19 dat… https://t.co/z5jNFUzS30",['ONEV1'],2020-07-14 23:59:58,en
145,TamaraYCastill1,Arkansas. Avid reader. Married  2 children and 5 grandchildren.🌊 🙈🙉🙊 Works at MEC.,"Heber Springs, AR",0,0,920,380,7466,"My mother-in-law lives in Miami, the epicenter of the COVID-19 pandemic in Florida. She’s terrified to leave her ap… https://t.co/Cu9SWJq4qR",[],2020-07-14 23:59:58,en
146,RoseNtheWoods,BIRTHPLACE: UNIVERSE | RACE: ORGANIC MATTER | POLITICS: FRESH AIR & WATER | RELIGION: TREES & SUNSHINE,🌊🌊TE🦋AS🌊🌊,0,0,2707,719,20095,"So trump is now trying to trick networks into covering him, saying it’s about coronavirus, and then walks out into… https://t.co/24JV15IYZO",[],2020-07-14 23:59:58,en
147,Laureta22,"Proud Nana, mother, sister, daughter, wife, Democrat and Resister 😷","Westbrook, ME",0,0,13796,12542,136297,"Donald Trump is losing the support of older voters, who are horrified by the now-exploding spread of covid-19 https://t.co/l7ASEzdNJS",[],2020-07-14 23:59:58,en
149,jellythai,,,0,0,107,12,4088,"#Hongkongers’ DNA could be ‘extradited’ to China through #coronavirus tests

Read: https://t.co/hcyFEdzDTq… https://t.co/E92SnFx3U7","['Hongkongers', 'coronavirus']",2020-07-14 23:59:58,en
152,chandraverma619,All is well 👍🏻,"Albuquerque, NM",0,0,110,59,9412,BREAKING: Coronavirus vaccine developed by America's National Institutes of Health and Moderna Inc has boosted immu… https://t.co/7eaY3dnnWR,[],2020-07-14 23:59:58,en
153,capsicum827,"Catholic; don't care for a two-party political system; I can see the fight of the good vs evil in real time - not sure, what's winning. Feeling armaggedonnish.",,0,0,340,255,21457,"Now seems like a good time to remind folks that, in answer to my questions, @SecPompeo refused six times to say cor… https://t.co/nEUpGD5dRA",[],2020-07-14 23:59:58,en
157,pedrobeck,Ativista pelos direitos humanos e militante pelos povos latinos. Fotógrafo da ONG AMPARA. Embaixador @VolunteerVac. Viajando as Américas desde 2015. Vegano.,,0,0,1180,7050,74337,BREAKING: Coronavirus vaccine developed by America's National Institutes of Health and Moderna Inc has boosted immu… https://t.co/7eaY3dnnWR,[],2020-07-14 23:59:58,en
159,Bicyclebuilt433,Tweets reflect me only.,,0,0,714,30,7531,"The GOP will suddenly care very much about the Hatch Act the minute Biden becomes President.

They will also sudden… https://t.co/60hr5oQAiC",[],2020-07-14 23:59:58,en
160,cassie_complex,"♀️🏳️‍⚧️🏳️‍🌈⚖🧜🏾‍♀️black bi bimbo lawyer🎀 Cassandra or Cassie, not Cass✌🏾",,0,0,2114,4186,295118,⚠️Worrying: 16 hours of airborne aerosol infectivity for the coronavirus that causes #COVID19 in a study published… https://t.co/YXCvnLw8Ky,['COVID19'],2020-07-14 23:59:58,en
163,MariaElenaGord9,Poet/Music Lyricist,"Chaparral, NM",0,0,5003,611,17105,Join us LIVE today at 1:30 pm ET to discuss how #COVIDー19 ravaged nursing homes and long-term care facilities with… https://t.co/mBe0ZMqcCY,['COVIDー19'],2020-07-14 23:59:58,en
164,nokooties,leftist....... forgot why I joined...,,0,0,506,235,15768,Please watch this!!!! Especially if you’ve tested positive for COVID 19 and have recovered!!!!!! https://t.co/tQ5e19YcDg,[],2020-07-14 23:59:58,en
165,Incogneato76,"Proud American, Christian, Independent, Constitutionalist, 2nd Amendment Defender, Retired Aerospace Engineer (B-1A, L-1011, F-117A, F-22), 1960s USAF Res Ofc",United States,0,0,1048,346,37185,"""In per-capita terms, New York has had 1,668 deaths per million. In contrast, Arizona has had 308, Florida 199, Cal… https://t.co/a7YoZEQV0g",[],2020-07-14 23:59:58,en
169,steffanoferrari,"I'm Ing.System, CCNA, My passion is F1 car racing.  #BlockCHain Enthusiast,#AI #3D #5G I work on being the best version of me 🔥👑#BTC #TRX #LTC #BNB #OKB #CRO","M, Venezuela",0,0,5001,2897,50339,Why #cybersecurity🔐matters more than ever during the #coronavirus😷#pandemic #wef https://t.co/p9uPXqtVv7 #Malware… https://t.co/xZyVsz65ps,"['cybersecurity', 'coronavirus', 'pandemic', 'wef', 'Malware', 'CIO']",2020-07-14 23:59:57,en
170,TheReal_KDubb,Ent. Finance Consultant/Music Producer-Songwriter/GameChanger/Direct Response/Son of Bob Watson-catch me on KPFT 90.1 FM The Groove Mondays 12a-3a CST,"LA,Houston, NYC, ATL,Tampa",0,0,12157,13967,497238,"Congress, Do Your Job: Help Americans Without One https://t.co/qIhwYtp06s #mustread #feedly","['mustread', 'feedly']",2020-07-14 23:59:57,en
173,transhumanismAU,We are a community that educates and invests in scientific research and technologies that enhance the human condition | http://transhumanism.com.au,Australia,0,0,21005,19241,31952,This new technology can help to screen passengers for #covid19 before allowing them to board their flights on… https://t.co/YMBwhsZLMi,['covid19'],2020-07-14 23:59:57,en
175,DeidreEversull,Off beat warpped views on life. Brain cancer & H1N1 survivor. Fighting the C battle again. #cancersucks #resistance #WomenRights #TrumpIsAFraud,"Los Osos, CA",0,0,3930,3318,311654,"The New York Times: Why We’re Losing the Battle With Covid-19.
https://t.co/hr6kLgnApk

via @GoogleNews",[],2020-07-14 23:59:57,en
178,EmoryRicks,"Dolphin and Heat Lifer till I die... Medical Laboratory Science, Genetics, BioMed, the world of research.... Knowlegde.... If it can Happen, It will Happen..","Maimi, Fl",2,0,911,167,7410,A factor that I am concern about in regards to athletes and Covid-19 is blood clots. I do not know if it is the ful… https://t.co/kLVJsxIAea,[],2020-07-14 23:59:57,en
179,GHofmar,,"New York, USA",0,0,3861,3001,584124,"Here's the document. 

""As of July 15, 2020, hospitals should no longer report the Covid-19 information in this doc… https://t.co/uU8dDBkCMt",[],2020-07-14 23:59:57,en
180,angelnphx,"❤️ is patient, ❤️ is kind.. It always protects, always trusts, always hopes, always perseveres. Love never fails. #resistance. Respect all life❤️❤️❤️❤️",,0,0,2396,882,113776,Breaking News: The Trump administration ordered hospitals to bypass the CDC and send key coronavirus information to… https://t.co/83hH8ki05v,[],2020-07-14 23:59:57,en
182,E_VanEvery,"Writer, editor, educator, knower of things. Therapy animals, wildlife interp, media, fandom, politics, fashion, cocktails. Caution: Swears. She/her",Coast Salish/Duwamish unceded,0,0,618,818,114853,HORROR SHOW. All 366 detainees were tested for coronavirus at this private ICE prison. Only 19 people tested negati… https://t.co/VsHEFzzB6H,[],2020-07-14 23:59:57,en
183,clauvolleyball1,,,0,0,470,75,129124,"⚠️dead at 44
Oliver Stokes, ""DJ Black N Mild"" known for bringing #NewOrleans bounce music to the radio died from… https://t.co/MbzD9mKu2I","['NewOrleans', 'COVID']",2020-07-14 23:59:57,en
184,1DGSplit,DartMafia 7️⃣Society4L🎯            SPLIT LIBERTO🇬🇷,"Memphis, TN",0,0,548,552,3990,"So if COVID-19 required schools to close in March and it’s worse now, why are we talking about reopening?",[],2020-07-14 23:59:57,en
185,aphroditee222,forever doing me,757,0,0,167,406,19923,"If Covid-19 ain’t bring the hustle out in you, you a lost soul 😭",[],2020-07-14 23:59:57,en
186,AmoreMoesha,Influencer for @yesstyle go to their website and use code:’MAKEUP23’ for some $$$ off,United States,0,0,7974,9131,8291,"When the COVID-19 crisis hit these safe spaces for queer people of color with disproportionate force, German photog… https://t.co/LeeoIQK0H1",[],2020-07-14 23:59:57,en
187,mnrajah,"Full Prof, @McGillU & Douglas Inst.; CIHR Sex & Gender Chair in Neuro; #CogAging #AD #Memory #FMRI #DEI She/Her Tweeting in a personal capacity 🖖🏼 🇨🇦 🇱🇰","Montréal, Québec",0,0,1245,1904,12164,What has been the impact of COVID-19 shutdowns on laboratories? Tom Durcan and Ed Ruthazer @ed_ruthazer weigh in… https://t.co/BICulEKn75,[],2020-07-14 23:59:57,en
188,SergioRodrigezB,Nueva Cuenta.,,0,0,225,41,657,BREAKING: Coronavirus vaccine developed by America's National Institutes of Health and Moderna Inc has boosted immu… https://t.co/7eaY3dnnWR,[],2020-07-14 23:59:57,en
189,gatesfoundation,We are impatient optimists working to reduce inequity.,"Seattle, Washington",0,0,937,2127356,15174,"#COVID19 continues to impact on women and girls in very   unimagined ways.

Join Graça Machel and Melinda Gates as… https://t.co/J11kWUOT4G",['COVID19'],2020-07-14 23:59:57,en
190,DMBFanUltraRun,"*LGBTQ+ PROUD PARENT(4)* 
🌱 for the 🐷 #DMB #TransRights
50 mile finisher,lost 120 lbs. ask me how

DAUGHTER IS A NURSE WEAR A DAMN MASK
    Happily Married 💗",Grey Street & The End of World,0,0,2490,2318,4615,"BREAKING: Donald Trump demands that hospitals no longer send COVID-19 information to the CDC, but rather to the Nat… https://t.co/8ocmoNAPti",[],2020-07-14 23:59:57,en
191,kendallsmith03,Radiate Positivity,ky,0,0,333,275,4053,"If you won't wear a mask in the store to protect other people from COVID-19, I had better not EVER hear you saying… https://t.co/CZxOpz2XxE",[],2020-07-14 23:59:57,en
192,PulpNews,The Fastest Crime News Updates on the Planet!,USA,0,0,923,4982,3802521,"#West Leechburg fundraiser canceled due to coronavirus still manages to raise $28,000 - Jul 14 @ 7:58 PM ET https://t.co/ZzxtejAE6M",['West'],2020-07-14 23:59:57,en
193,jalfonsozrondon,"Nullius in verba📖 // Incluso la luz necesita la oscuridad para brillar
Ig:culture.premier",Los Andes,0,0,600,552,20505,BREAKING: Coronavirus vaccine developed by America's National Institutes of Health and Moderna Inc has boosted immu… https://t.co/7eaY3dnnWR,[],2020-07-14 23:59:57,en
194,RuthEvans18,"love dogs, bowling and golf. #MAGA#Americafirst so thankful that God gave us President Trump! #IStandWithTrump","Nebraska, USA",0,0,5771,5574,51063,"""In per-capita terms, New York has had 1,668 deaths per million. In contrast, Arizona has had 308, Florida 199, Cal… https://t.co/a7YoZEQV0g",[],2020-07-14 23:59:57,en
195,JPOSE23,#MambaMentality,City of Angels,0,0,1277,610,126536,"Just delivered Grubhub to this customer, and now I see why Coronavirus is kicking our ass https://t.co/sPZTNIyteG",[],2020-07-14 23:59:57,en
202,RanFast2,,,0,0,4998,448,44708,"BREAKING: The collision of two airplanes over Missouri has killed an estimated 850 people.

Actually, there were no… https://t.co/DczYQ2jHsQ",[],2020-07-19 23:59:59,en
203,yxng_toastr,INTP.24/7 foo. Vibing on a different frequency 🥤,shit ion even know,0,0,924,159,3253,The son of a Palestinian woman who was infected with COVID-19 climbed up to her hospital room to sit and see his mo… https://t.co/0kgVEzsdvX,[],2020-07-19 23:59:59,en
204,maikiki30056067,"People with different values and nationalities
It is important to understand each other's culture

Please refrain from tagging and DM.",,1,0,2706,8442,25109,"@TomFulop Is the impact of corona here?
I want you to converge as quickly as possible even one day
I am praying for it🙏",[],2020-07-19 23:59:59,en
206,AdamOmel562,,"California, USA",0,0,97,144,50,What an honor and privilege to lead drivers like Hector at the Hollywood center .Drivers  making a difference in th… https://t.co/17dZqY63nm,[],2020-07-19 23:59:59,en
208,MallofMemphisTN,We're still the one! Voted safest Mall in Memphis for 17 years straight.,"Memphis, TN",0,0,2607,2356,2764,Whoever is spreading the rumor that Memphis hospitals are getting extra Kroger points for coding patients as COVID-… https://t.co/whIswYKpeX,[],2020-07-19 23:59:59,en
210,upstartcrow1960,"Humanist, scholar, Renaissance guy, teacher, reader, writer, poet, mystic, dreamer, friend of animals & trees. Cyborg. Apprentice Bunburyist.",,0,0,316,76,37984,"“At least 3,958 people in Texas have died of coronavirus. Nearly 20% of those deaths were reported in the past week… https://t.co/IjuJmavFVb",[],2020-07-19 23:59:59,en
212,JonUPS_,"“I don’t mind being called a propagandist, so long as that propaganda is based on the truth.” - Edward R. Murrow, speaking to a reporter for the  Miami Herald.","Westchester County, NY",0,0,4979,2657,446788,"A grim measure of Trump's politicizing Covid-19: every blue Northeast state has cases under reasonable control, eve… https://t.co/ufrJlPVp8s",[],2020-07-19 23:59:59,en
213,TeamYouTube,"Updates and answers from the team that brings you YouTube. Here to help in: English, Español, Português, Deutsch, Français, Pусский, 日本語, Bahasa","San Bruno, CA",0,0,1083,1132143,1064136,"@PanditJingping If you've experienced a delay while your live archive is processing, this is due to an increase in… https://t.co/WzoolL73Aj",[],2020-07-19 23:59:59,en
214,BostonEMProper,,,0,0,18,7,509,Chelsea has the highest rate of COVID-19 infections in the state and is one of the most polluted cities in the regi… https://t.co/oFoztIqvkN,[],2020-07-19 23:59:59,en
217,JUST_DREAM_1955,"retired, former business owner, was member of the first all women Lions Club, Peer counselor. Loves books and people. list goes on. Now what’s going on today.",,0,0,2677,1049,74892,"“At least 3,958 people in Texas have died of coronavirus. Nearly 20% of those deaths were reported in the past week… https://t.co/IjuJmavFVb",[],2020-07-19 23:59:59,en
218,Sana78623,supporting Asim ❤️,,0,0,170,268,37126,"#Video | ""When will I be able to return to my kids, my wife, my brothers and sisters? When will I be able to contri… https://t.co/X4Er2JTNS4",['Video'],2020-07-19 23:59:58,en
220,KropotkinPetyr,"Customer Service for Antifa North America
(They/Them)

The only thing that can defeat fascism is AMAZING CUSTOMER SERVICE!","Lebanon, KS",0,0,637,9053,29941,"If you want things to be perfectly clean, please respect the people who do the cleaning.  Human beings who clean ar… https://t.co/jjbgwhfTlG",[],2020-07-19 23:59:58,en
221,shelbybrenna_,"Sharing my lifestyle,  food faves & travel trips | 2x Degreed BA+MA🎓 | Co-Founder/ Podcast Host @melanintv_","Dallas, TX",0,0,2039,1298,41395,"Do you need to be tested for COVID-19? If you don't have transportation, we have options. Know where to go -- testi… https://t.co/mkCudYh0Cw",[],2020-07-19 23:59:58,en
222,HelenaLindsay32,🇯🇵🇦🇺 → 🇺🇸 UVA ‘22 women’s XC/Track,,0,0,155,209,83,"20-somethings are getting sick from Covid-19. And staying sick.

Their stories are a warning from millennials to mi… https://t.co/S31lKMFWjx",[],2020-07-19 23:59:58,en
224,LSedger,Virologist. Lover of science & Great Danes. Passionate about education & innovative research. PhD. You only live once. Tweets mine.,Sydney Australia,0,0,2828,1216,15040,#Coronavirus - NSW faces greater risk of second COVID-19 wave than Victoria. NSW Health on Sunday urged people to a… https://t.co/lhMOVr8289,['Coronavirus'],2020-07-19 23:59:58,en
225,hall01101955,"#Election2016, Trump all the way. MAGA Trump 2020. I love my President!",,0,0,1175,1290,111627,ICYMI - EXCLUSIVE: Top Medical Insider from Massive U.S. Health Care System Blows Roof Off the COVID-19 ‘Scamdemic’… https://t.co/VChxylXvTr,[],2020-07-19 23:59:58,en
226,James_Savage15,If a bunch of Russian Bots and teenagers from Macedonia can change the world by tweeting so can I! NO LISTS! #TeamJustice #BlackLivesMatter,Earth,0,0,4969,3157,372405,"There's a lot more in this story, which shows how the GOP is being pulled apart by the pandemic, Trump's determinat… https://t.co/fE5ENFp85J",[],2020-07-19 23:59:58,en
228,StephThinQ21,Daughter of the One True God💗Awake Since March 2020👀Wife💍All Boy Mom😆,,0,0,60,30,2464,"@BeachMilk This is the World Economic Forum's Covid-19 Transformation map, when you click on the words in the map i… https://t.co/tbU323q5ty",[],2020-07-19 23:59:58,en
229,AustraliaPossum,#News #Follow #Like #Retweet @10NewsFirstMelb @9NewsMelb @7NewsMelbourne @ABCMelbourne @SBSNews Funny like list.,Australia🇦🇺🦘,0,0,316,122,17597,"On Thursday wearing a face mask will become COMPULSORY for Melbourne and the Mitchell Shire Residents.

Residents w… https://t.co/2UpvIAV4SM",[],2020-07-19 23:59:58,en
234,LindaQVillan,"Travel, sports,reality TV, gossip. 🇺🇸🐶🐱🌈 VOTE 💙",United States,0,0,2526,946,21755,"Stimulus bill: White House chief of staff says stimulus negotiations will start 'in earnest' on Monday 

Translatio… https://t.co/EtjuoaexdJ",[],2020-07-19 23:59:58,en
235,Minka51150356,"#Deplorable #Neanderthal  #NRA #MAGA  #VoterID #Trump2020  @Parler_app #MerryChristmas
""I prefer dangerous freedom over peaceful slavery.""
- Thomas Jefferson",,0,0,7958,7481,68512,BREAKING: Sources inside Trump Administration confirm to me that CDC has been misreporting the data for coronavirus to inflate the numbers.,[],2020-07-19 23:59:58,en
236,Harley_Stefani,Dave Henderson.|🌈|🐧|Siren Tingz| I can't Sim to save my life.| (Efed/Sim) GT: DELUXExIMPACT|Fan account.,United Kingdom,0,0,415,845,23163,"Since corona virus, Rey has lost an eye, been thrown off a building, was suppose to retire, let’s see what’ll happen tonight.",[],2020-07-19 23:59:58,en
238,VikDaKid,IG & SC : VikDaKid,,0,0,668,707,69545,#Bahamas closes borders to U.S. tourists after COVID-19 cases spike; others still welcome https://t.co/8rpKJDOmH1,['Bahamas'],2020-07-19 23:59:58,en
240,rembike,"bike nerd, r.e.m. nerd, potter nerd, non practicing vegetarian",West of the Fields,0,0,299,167,77480,"""The residents here are terrified and I'm terrified, for the first time in my career because there's a lack of lead… https://t.co/U97We98Atl",[],2020-07-19 23:59:58,en
